repo,name,version,appVersion,updatedAt
main,metallb,2.2.2,0.9.5,2021-02-03T03:42:19.000Z
main,redis,12.7.3,6.0.10,2021-02-03T07:44:36.000Z
main,ingress-nginx,3.23.0,0.44.0,2021-02-04T06:43:47.000Z
main,gitea,2.1.10,1.13.2,2021-02-04T09:49:00.000Z
main,ambassador,6.5.18,1.11.1,2021-02-04T13:10:32.000Z
main,gitea,2.1.11,1.13.2,2021-02-04T13:10:32.000Z
main,redis,12.7.4,6.0.10,2021-02-05T06:14:43.000Z
main,seaweedfs,2.24,2.24,2021-02-07T22:47:41.000Z
main,metallb,2.3.0,0.9.5,2021-02-09T01:13:40.000Z
main,kube-prometheus,4.0.1,0.45.0,2021-02-09T09:14:19.000Z
main,linkerd2-cni,2.9.3,stable-2.9.3,2021-02-09T14:43:04.000Z
main,linkerd2,2.9.3,stable-2.9.3,2021-02-09T14:43:04.000Z
main,cert-manager,v1.2.0,v1.2.0,2021-02-11T03:12:27.000Z
main,seaweedfs,2.25,2.25,2021-02-14T22:44:21.000Z
main,openebs,2.6.0,2.6.0,2021-02-15T06:47:22.000Z
main,seaweedfs,2.26,2.26,2021-02-15T14:14:24.000Z
main,minio,8.0.10,master,2021-02-15T21:12:53.000Z
main,cockroachdb,5.0.5,20.2.5,2021-02-16T09:06:57.000Z
main,consul,0.30.0,1.9.3,2021-02-16T16:31:55.000Z
main,kubernetes-dashboard,4.0.1,2.1.0,2021-02-18T05:42:45.000Z
main,kubernetes-dashboard,4.0.2,2.2.0,2021-02-18T07:42:43.000Z
main,metallb,2.3.1,0.9.5,2021-02-19T15:13:52.000Z
main,dapr,1.0.0,1.0.0,2021-02-20T06:37:04.000Z
main,seaweedfs,2.27,2.27,2021-02-21T19:41:57.000Z
main,prometheus-blackbox-exporter,4.10.2,0.18.0,2021-02-22T00:39:08.000Z
main,prometheus-mysql-exporter,1.1.0,v0.12.1,2021-02-22T00:39:08.000Z
main,prometheus-postgres-exporter,1.10.0,0.8.0,2021-02-22T00:39:08.000Z
main,prometheus-redis-exporter,4.0.0,1.11.1,2021-02-22T00:39:08.000Z
main,prometheus-snmp-exporter,0.1.2,0.19.0,2021-02-22T00:39:08.000Z
main,hazelcast,3.6.0,4.1.1,2021-02-22T01:11:46.000Z
main,kube-prometheus,4.0.2,0.45.0,2021-02-22T10:46:00.000Z
main,metallb,2.3.2,0.9.5,2021-02-22T10:46:00.000Z
main,redis,12.7.5,6.0.10,2021-02-22T10:46:00.000Z
main,seaweedfs,2.28,2.28,2021-02-22T23:13:07.000Z
main,sealed-secrets,1.13.2,0.13.1,2021-02-23T00:20:40.000Z
main,kube-prometheus,4.1.0,0.45.0,2021-02-23T02:42:10.000Z
main,linkerd2-cni,2.9.4,stable-2.9.4,2021-02-23T15:14:14.000Z
main,linkerd2,2.9.4,stable-2.9.4,2021-02-23T15:14:14.000Z
main,redis,12.7.6,6.0.11,2021-02-24T00:16:10.000Z
main,argo-cd,2.14.7,1.8.4,2021-02-24T06:50:58.000Z
main,argo,0.16.2,v2.12.5,2021-02-24T06:50:58.000Z
main,argo,0.16.3,v2.12.5,2021-02-24T09:18:32.000Z
main,redis,12.7.7,6.0.11,2021-02-24T09:18:32.000Z
main,argo,0.16.4,v2.12.5,2021-02-24T10:15:02.000Z
main,argo,0.16.5,v2.12.5,2021-02-24T11:35:55.000Z
main,ambassador,6.5.19,1.11.1,2021-02-24T12:14:06.000Z
main,kube-prometheus,4.1.1,0.46.0,2021-02-24T12:14:07.000Z
main,yugabyte,2.5.2,2.5.2.0-b104,2021-02-24T15:42:04.000Z
main,grafana,6.4.4,7.4.2,2021-02-25T12:30:22.000Z
main,loki-distributed,0.25.0,2.1.0,2021-02-25T12:30:22.000Z
main,loki,2.3.0,v2.1.0,2021-02-25T12:30:22.000Z
main,argo,0.16.6,v2.12.5,2021-02-25T14:14:16.000Z
main,harbor,1.6.0,2.2.0,2021-02-25T20:16:34.000Z
main,redis,12.8.0,6.0.11,2021-02-26T04:57:06.000Z
main,seaweedfs,2.29,2.29,2021-02-28T18:26:04.000Z
main,grafana,6.4.5,7.4.2,2021-02-28T23:13:08.000Z
main,gitea,2.2.0,1.13.2,2021-03-01T08:22:04.000Z
main,ambassador,6.5.20,1.11.2,2021-03-01T12:14:13.000Z
main,gitea,2.2.1,1.13.2,2021-03-02T01:14:31.000Z
main,redis,12.8.1,6.0.12,2021-03-02T05:34:32.000Z
main,prometheus-statsd-exporter,0.3.0,0.20.0,2021-03-02T06:23:44.000Z
main,kube-prometheus,4.1.2,0.46.0,2021-03-02T07:16:40.000Z
main,rancher,2.5.6,v2.5.6,2021-03-04T00:16:31.000Z
main,gitea,2.2.2,1.13.2,2021-03-04T01:14:43.000Z
main,grafana,6.4.6,7.4.2,2021-03-04T05:15:56.000Z
main,hazelcast,3.6.1,4.1.1,2021-03-04T08:27:18.000Z
main,dapr,1.0.1,1.0.1,2021-03-04T11:11:12.000Z
main,redis,12.8.2,6.0.12,2021-03-04T15:14:33.000Z
main,grafana,6.4.7,7.4.2,2021-03-04T18:25:43.000Z
main,redis,12.8.3,6.0.12,2021-03-05T04:18:21.000Z
main,postgres-operator-ui,1.6.1,1.6.1,2021-03-05T06:31:25.000Z
main,postgres-operator,1.6.1,1.6.1,2021-03-05T06:31:25.000Z
main,loki-distributed,0.26.0,2.1.0,2021-03-05T09:12:18.000Z
main,grafana,6.4.8,7.4.2,2021-03-07T04:18:20.000Z
main,prometheus-postgres-exporter,2.0.0,0.8.0,2021-03-07T05:15:26.000Z
main,argo-cd,2.14.8,1.8.4,2021-03-07T15:14:23.000Z
main,seaweedfs,2.30,2.30,2021-03-07T15:14:24.000Z
main,argo-cd,2.14.9,1.8.4,2021-03-08T09:56:37.000Z
main,argo,0.16.7,v2.12.5,2021-03-08T10:19:40.000Z
main,ambassador,6.5.21,1.12.0,2021-03-08T10:49:55.000Z
main,argo-cd,2.15.0,1.8.4,2021-03-08T12:14:57.000Z
main,yugabyte,2.5.3,2.5.3.0-b30,2021-03-08T14:45:53.000Z
main,grafana,6.5.0,7.4.2,2021-03-09T01:48:59.000Z
main,argo-cd,2.16.0,1.8.4,2021-03-09T10:27:14.000Z
main,argo-cd,2.16.1,1.8.4,2021-03-09T13:12:49.000Z
main,seaweedfs,2.31,2.31,2021-03-09T13:12:49.000Z
main,ingress-nginx,3.24.0,0.44.0,2021-03-09T14:47:02.000Z
main,argo-cd,2.17.0,1.8.4,2021-03-10T02:43:30.000Z
main,kubed,v0.12.0,v0.12.0,2021-03-10T07:22:14.000Z
main,grafana,6.6.0,7.4.2,2021-03-10T09:18:53.000Z
main,reflector,5.4.17,5.4.17,2021-03-10T09:18:53.000Z
main,prometheus-statsd-exporter,0.3.1,0.20.0,2021-03-10T13:41:20.000Z
main,grafana,6.6.1,7.4.2,2021-03-10T14:45:57.000Z
main,linkerd2-cni,2.10.0,stable-2.10.0,2021-03-10T16:34:21.000Z
main,linkerd2,2.10.0,stable-2.10.0,2021-03-10T16:34:21.000Z
main,verdaccio,1.2.0,4.10.0,2021-03-11T07:22:48.000Z
main,loki-distributed,0.27.0,2.2.0,2021-03-11T07:44:08.000Z
main,loki,2.5.0,v2.2.0,2021-03-11T08:22:33.000Z
main,ambassador,6.5.22,1.12.0,2021-03-12T08:22:13.000Z
main,grafana,6.6.2,7.4.2,2021-03-12T08:22:13.000Z
